id	date	chimp	condition	session	trial	side	correct	pull_action	both_ropes
1	06/10/2018	mwanzo	control	1	1	right	yes	one	0
2	06/10/2018	mwanzo	control	1	2	left	yes	one	0
3	06/10/2018	mwanzo	control	1	3	right	yes	one	0
4	06/10/2018	mwanzo	control	1	4	right	yes	one	0
5	06/10/2018	mwanzo	control	1	5	left	yes	one	0
6	06/10/2018	mwanzo	control	1	6	left	no	one	0
7	06/10/2018	mary	control	1	1	left	yes	one	0
8	06/10/2018	mary	control	1	2	right	yes	one	0
9	06/10/2018	mary	control	1	3	left	yes	one	0
10	06/10/2018	mary	control	1	4	left	yes	one	0
11	06/10/2018	mary	control	1	5	right	yes	two	1
12	06/10/2018	mary	control	1	6	right	yes	two	1
13	06/10/2018	zee	control	1	1	right	yes	one	0
14	06/10/2018	zee	control	1	2	right	yes	one	0
15	06/10/2018	zee	control	1	3	left	yes	one	0
16	06/10/2018	zee	control	1	4	left	yes	one	0
17	06/10/2018	zee	control	1	5	right	yes	one	0
18	06/10/2018	zee	control	1	6	left	yes	one	0
19	06/10/2018	cheetah	control	1	1	left	yes	one	0
20	06/10/2018	cheetah	control	1	2	left	yes	one	0
21	06/10/2018	cheetah	control	1	3	right	yes	one	0
22	06/10/2018	cheetah	control	1	4	right	yes	two	1
23	06/10/2018	cheetah	control	1	5	left	yes	two	1
24	06/10/2018	cheetah	control	1	6	right	yes	two	1
25	07/10/2018	amahirwe	control	1	1	left	yes	one	0
26	07/10/2018	amahirwe	control	1	2	right	yes	one	0
27	07/10/2018	amahirwe	control	1	3	left	yes	one	0
28	07/10/2018	amahirwe	control	1	4	left	yes	one	0
29	07/10/2018	amahirwe	control	1	5	right	yes	one	0
30	07/10/2018	amahirwe	control	1	6	right	yes	one	0
31	07/10/2018	mwanzo	test	1	1	left	no	one	0
32	07/10/2018	mwanzo	test	1	2	left	yes	one	0
33	07/10/2018	mwanzo	test	1	3	right	yes	two	1
34	07/10/2018	mwanzo	test	1	4	left	yes	one	0
35	07/10/2018	mwanzo	test	1	5	right	yes	two	1
36	07/10/2018	mwanzo	test	1	6	right	yes	two	1
37	07/10/2018	mary	test	1	1	right	yes	two	1
38	07/10/2018	mary	test	1	2	right	yes	two	1
39	07/10/2018	mary	test	1	3	left	yes	two	1
40	07/10/2018	mary	test	1	4	right	yes	two	1
41	07/10/2018	mary	test	1	5	left	yes	two	1
42	07/10/2018	mary	test	1	6	left	yes	two	1
43	07/10/2018	zee	test	1	1	right	yes	one	0
44	07/10/2018	zee	test	1	2	left	no	one	0
45	07/10/2018	zee	test	1	3	right	yes	one	0
